Lower Super Output Area,Names,Mid year Population Estimates;All Ages;2011,Mid year Population Estimates;Aged 0 15;2011,Mid year Population Estimates;Aged 16 29;2011,Mid year Population Estimates;Aged 30 44;2011,Mid year Population Estimates;Aged 45 64;2011,Mid year Population Estimates;Aged 65+;2011,Mid year Population Estimates;Working age;2011,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Household Composition;% Lone parent household;2011,Household Composition;% One person household;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011,Tenure;Social rented (%);2011,Tenure;Private rented (%);2011,Dwelling type;Household spaces with no usual residents (%);2011,House Prices;Median Price (£);2011,Adults in Employment;% of households with no adults in employment: With dependent children;2011,Lone Parents;Lone parent not in employment %;2011,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Qualifications;% Highest level of qualification: Level 1 qualifications;2011,Qualifications;% Highest level of qualification: Level 2 qualifications;2011,Qualifications;% Highest level of qualification: Apprenticeship;2011,Qualifications;% Highest level of qualification: Other qualifications;2011,Health;Day to day activities limited a lot (%);2011,Health;Day to day activities limited a little (%);2011,Health;Fair health (%);2011,Health;Bad or Very Bad health (%);2011,Car or van availability;No cars or vans in household (%);2011,Car or van availability;1 car or van in household (%);2011,Public Transport Accessibility Levels (2014);% 0 1 (poor access),Public Transport Accessibility Levels (2014);% 2 3 (average access),"Household Income, 2011/12;Mean Annual Household Income estimate (£)",pop_density_2011
E01000057,Barking and Dagenham 012A,1505,440,274,355,295,141,924,1496,14.8,25.5,22.5,64.9,5,5.7,22.7,1.6,35.1,40,13.4,2,-152500,14,54.9,9.4,26.8,16.4,14.5,2.6,9.4,8.1,7.3,12.8,5.9,37.6,49,6.2,93.8,-33159,101.6891892
E01000073,Barking and Dagenham 012B,1618,437,279,408,309,185,996,1619,28.5,19.9,27.9,70.8,4.1,9.1,14.9,1.1,29.2,31.1,16.3,1.6,-155000,9,46.7,10.2,30.6,18,15,3,8.6,10.6,6.9,13.8,7.8,35.2,47.4,100,0,-33157,56.77192982
E01000074,Barking and Dagenham 012C,1577,438,305,363,309,162,977,1567,16.4,21.3,31.8,72,5.4,4.9,16.5,1.1,28,42.3,14.5,0.9,-152000,10,52.9,9.4,29.3,17.4,16,2.4,8.4,9.1,8.8,14.2,6.5,40.4,43.6,60.1,39.9,-32665,96.15853659
E01000075,Barking and Dagenham 012D,1738,436,308,385,395,214,1088,1732,51.7,14.1,25.6,73,4.8,7.9,13.7,0.5,27,32.3,10.8,1,-181500,8,55,9.2,31.8,16.5,16.7,2.5,8.4,9.7,8.9,12.9,7.7,32.2,46.5,0,100,-34043,33.61702128
E01000076,Barking and Dagenham 012E,1994,607,347,468,390,182,1205,1988,19.1,19.3,28.6,64.3,3.2,10.5,20.8,1.2,35.7,42.8,14.5,1.9,-151000,13,53.7,11,36.2,13.7,15.7,2.2,8.5,7.7,8.6,15,5.9,39.4,41,57.5,42.5,-31348,104.3979058
E01000013,Barking and Dagenham 013A,1668,417,308,366,357,220,1031,1660,20.8,20.8,25.2,68.6,4,9.9,17.1,0.3,31.4,39.1,15.2,3.3,-161000,11,59.6,10.1,33.5,14.1,15.6,1.4,9.2,10.8,8.5,11.2,9.2,43.4,43.4,0.6,81.6,-32742,80.19230769
E01000014,Barking and Dagenham 013B,1667,406,348,359,364,190,1071,1656,34.1,17.7,28.2,75,4,4.9,15.1,1,25,37.6,15,1.1,-160000,11,57.3,11.4,31.4,17.6,15.4,1.8,10.8,8.6,9.6,13.5,6.3,35.9,47.5,19,81,-32308,48.8856305
E01000059,Barking and Dagenham 013C,1581,407,276,357,357,184,990,1582,20.8,23.4,26.5,73.5,4.1,4.1,17.5,0.8,26.5,38.8,12.3,0.9,-150998,13,63.6,10,34,14.5,17.8,2.5,7.5,11.5,8.9,14.3,6.6,35.8,43.4,44.1,55.9,-32947,76.00961538
E01000084,Barking and Dagenham 013D,1358,367,247,321,290,133,858,1355,15,20.1,26.7,70.4,3.9,7.4,17.6,0.7,29.6,41.4,16.6,0.8,-151000,10,55.4,9.8,31.3,16.9,14.9,1.5,8.5,8.7,8.4,13.5,6.1,42.2,43.5,0,88.2,-32285,90.53333333
E01000085,Barking and Dagenham 013E,1720,479,340,353,375,173,1068,1718,14.5,18.9,26.7,68.8,3.4,5.6,17.6,4.5,31.2,44.7,18,1.8,-147750,11,51.6,14,35.6,16.1,14.9,1.6,8.3,8.1,8.4,15.4,6.1,46.4,39.5,0,86.2,-30100,118.6206897
